time,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95,rss,kb_rd,kb_wr,kb_ccwr,iodelay
1718193030,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,83.0,0,0,0,0,0,0,0,0,22.0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,198616,9984.0,0.0,0.0,0
1718193031,0,0,1.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,91.0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,457828,10624.0,0.0,0.0,0
1718193032,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,98.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,463204,13184.0,0.0,0.0,0
1718193033,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,96.0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2.0,0,2.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,557668,0.0,0.0,0.0,0
1718193034,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,886572,0.0,0.0,0.0,0
1718193035,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,98.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,966444,0.0,0.0,0.0,0
1718193036,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,98.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,971820,0.0,0.0,0.0,0
1718193037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971820,13056.0,0.0,0.0,0
1718193038,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,97.0,0,0,0.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,980268,12544.0,0.0,0.0,0
1718193039,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,978988,12672.0,4.0,0.0,0
